Location_Code,Classification,Filled,Unfilled,Total_Jobs,Filled_Percentage,Unfilled_Percentage
X061,PARAPROFESSIONAL,33,6,39,84.62,15.38
X062,PARAPROFESSIONAL,174,10,184,94.57,5.43
X063,PARAPROFESSIONAL,40,28,68,58.82,41.18
X065,PARAPROFESSIONAL,73,11,84,86.9,13.1
X066,PARAPROFESSIONAL,37,6,43,86.05,13.95
X068,PARAPROFESSIONAL,364,6,370,98.38,1.62
X069,PARAPROFESSIONAL,87,7,94,92.55,7.45
X070,PARAPROFESSIONAL,224,0,224,100,0
X071,PARAPROFESSIONAL,46,4,50,92,8
X072,PARAPROFESSIONAL,76,24,100,76,24
X075,PARAPROFESSIONAL,126,1,127,99.21,0.79
X076,PARAPROFESSIONAL,178,11,189,94.18,5.82
X077,PARAPROFESSIONAL,205,3,208,98.56,1.44
X078,PARAPROFESSIONAL,112,8,120,93.33,6.67
X078,FEMALE SPANISH SPEAKING PARA,16,5,21,76.19,23.81
X080,PARAPROFESSIONAL,43,0,43,100,0
X080,SPANISH SPEAKING PARA,20,1,21,95.24,4.76
X081,PARAPROFESSIONAL,68,20,88,77.27,22.73
X083,PARAPROFESSIONAL,203,1,204,99.51,0.49
X085,PARAPROFESSIONAL,275,23,298,92.28,7.72
X086,PARAPROFESSIONAL,281,5,286,98.25,1.75
X086,SPANISH SPEAKING PARA,21,0,21,100,0
X087,PARAPROFESSIONAL,115,9,124,92.74,7.26
X089,PARAPROFESSIONAL,210,0,210,100,0
X089,SPANISH SPEAKING PARA,63,0,63,100,0
X091,PARAPROFESSIONAL,248,3,251,98.8,1.2
X093,PARAPROFESSIONAL,73,19,92,79.35,20.65
X094,PARAPROFESSIONAL,177,23,200,88.5,11.5
X095,PARAPROFESSIONAL,179,27,206,86.89,13.11
X095,BENGALI SPEAKING PARA,2,6,8,25,75
X096,PARAPROFESSIONAL,175,21,196,89.29,10.71
X097,PARAPROFESSIONAL,263,7,270,97.41,2.59
X100,PARAPROFESSIONAL,150,9,159,94.34,5.66
X101,PARAPROFESSIONAL,63,0,63,100,0
X103,PARAPROFESSIONAL,351,44,395,88.86,11.14
X105,PARAPROFESSIONAL,52,2,54,96.3,3.7
X106,PARAPROFESSIONAL,19,14,33,57.58,42.42
X107,PARAPROFESSIONAL,153,7,160,95.62,4.38
X108,PARAPROFESSIONAL,247,0,247,100,0
X109,PARAPROFESSIONAL,268,2,270,99.26,0.74
X109,SPANISH SPEAKING PARA,9,12,21,42.86,57.14
X110,PARAPROFESSIONAL,21,0,21,100,0
X111,PARAPROFESSIONAL,131,5,136,96.32,3.68
X112,PARAPROFESSIONAL,46,16,62,74.19,25.81
X114,PARAPROFESSIONAL,260,5,265,98.11,1.89
X114,SPANISH SPEAKING PARA,23,8,31,74.19,25.81
X114,BENGALI SPEAKING PARA,5,14,19,26.32,73.68
X114,ARABIC SPEAKING PARA,12,0,12,100,0
X117,PARAPROFESSIONAL,63,8,71,88.73,11.27
X118,PARAPROFESSIONAL,30,10,40,75,25
X119,PARAPROFESSIONAL,211,4,215,98.14,1.86
X121,PARAPROFESSIONAL,130,2,132,98.48,1.52
X123,PARAPROFESSIONAL,21,2,23,91.3,8.7
X126,PARAPROFESSIONAL,26,23,49,53.06,46.94
X126,MALE PARA,5,0,5,100,0
X128,PARAPROFESSIONAL,46,5,51,90.2,9.8
X129,SPANISH SPEAKING PARA,23,10,33,69.7,30.3
X129,PARAPROFESSIONAL,1,9,10,10,90
X130,PARAPROFESSIONAL,40,5,45,88.89,11.11
X131,PARAPROFESSIONAL,65,9,74,87.84,12.16
X132,PARAPROFESSIONAL,126,2,128,98.44,1.56
X134,PARAPROFESSIONAL,106,23,129,82.17,17.83
X138,PARAPROFESSIONAL,3,3,6,50,50
X140,PARAPROFESSIONAL,187,2,189,98.94,1.06
X141,PARAPROFESSIONAL,93,8,101,92.08,7.92
X144,PARAPROFESSIONAL,21,0,21,100,0
X146,PARAPROFESSIONAL,63,0,63,100,0
X146,FEMALE PARA,20,1,21,95.24,4.76
X150,PARAPROFESSIONAL,67,0,67,100,0
X152,PARAPROFESSIONAL,26,10,36,72.22,27.78
X153,PARAPROFESSIONAL,155,0,155,100,0
X154,PARAPROFESSIONAL,60,17,77,77.92,22.08
X157,PARAPROFESSIONAL,63,4,67,94.03,5.97
X160,PARAPROFESSIONAL,50,12,62,80.65,19.35
X161,PARAPROFESSIONAL,154,12,166,92.77,7.23
X163,PARAPROFESSIONAL,90,8,98,91.84,8.16
X163,SPANISH SPEAKING PARA,20,0,20,100,0
X168,PARAPROFESSIONAL,977,139,1116,87.54,12.46
